timestamp,hyperfaas-thumbnailer-json:latest,hyperfaas-bfs-json:latest,hyperfaas-echo:latest,hyperfaas-thumbnailer-json:latest_active_calls,hyperfaas-bfs-json:latest_active_calls,hyperfaas-echo:latest_active_calls
1747834519,0,1,0,0,-1,0
1747834520,0,0,0,0,-1,0
1747834521,0,0,0,0,-1,0
1747834522,0,1,0,0,0,0
1747834523,0,0,1,0,0,1
1747834524,0,-1,-1,0,-1,0
1747834525,0,1,0,0,0,0
1747834526,0,1,0,0,1,0
1747834527,0,-1,0,0,0,0
1747834528,0,1,0,0,1,0
1747834529,0,-1,0,0,0,0
1747834530,0,0,0,0,0,0
1747834531,0,-1,0,0,-1,0
1747834532,0,0,1,0,-1,1
1747834533,0,1,-1,0,0,0
1747834534,0,-1,0,0,-1,0
1747834535,0,0,0,0,-1,0
1747834536,0,1,1,0,0,1
1747834537,0,0,1,0,0,2
1747834538,0,-1,-1,0,-1,1
1747834539,0,0,0,0,-1,1
1747834540,0,1,0,0,0,1
1747834541,0,1,0,0,1,1
1747834542,0,-1,0,0,0,1
1747834543,0,0,0,0,0,1
1747834544,0,1,0,0,1,1
1747834545,0,-1,-1,0,0,0
1747834546,0,0,2,0,0,2
1747834547,0,1,0,0,1,2
1747834548,0,-1,-1,0,0,1
1747834549,0,1,0,0,1,1
1747834550,0,-1,0,0,0,1
1747834551,0,1,0,0,1,1
1747834552,0,0,0,0,1,1
1747834553,0,0,0,0,1,1
1747834554,0,1,0,0,2,1
1747834555,0,-1,-1,0,1,0
1747834556,0,0,-1,0,1,-1
1747834557,0,0,0,0,1,-1
1747834558,0,0,0,0,1,-1
1747834559,0,1,0,0,2,-1
1747834560,0,-2,1,0,0,0
1747834561,0,0,0,0,0,0
1747834562,0,0,-1,0,0,-1
1747834563,0,0,0,0,0,-1
1747834564,0,0,0,0,0,-1
1747834565,0,0,2,0,0,1
1747834566,0,0,1,0,0,2
1747834567,0,0,0,0,0,2
1747834568,0,0,-1,0,0,1
1747834569,0,0,0,0,0,1
1747834570,0,0,0,0,0,1
1747834571,0,0,0,0,0,1
1747834572,0,0,0,0,0,1
1747834573,0,0,0,0,0,1
1747834574,0,0,0,0,0,1
1747834575,0,0,-1,0,0,0
1747834576,0,0,1,0,0,1
1747834577,0,0,0,0,0,1
1747834578,0,0,-1,0,0,0
1747834579,0,0,0,0,0,0
1747834580,0,0,0,0,0,0
1747834581,0,0,0,0,0,0
1747834582,0,0,0,0,0,0
1747834584,0,0,1,0,0,1
1747834585,0,0,-1,0,0,0
1747834586,0,0,0,0,0,0
1747834587,0,0,0,0,0,0
1747834588,0,0,1,0,0,1
1747834589,0,0,0,0,0,1
1747834590,0,0,-1,0,0,0
1747834591,0,0,0,0,0,0
1747834593,0,0,0,0,0,0
1747834594,0,0,0,0,0,0
1747834595,0,0,0,0,0,0
1747834596,0,0,0,0,0,0
1747834597,0,0,1,0,0,1
1747834598,0,0,0,0,0,1
1747834599,0,0,0,0,0,1
1747834600,0,0,-1,0,0,0
1747834601,0,0,0,0,0,0
1747834602,0,0,0,0,0,0
1747834603,0,0,0,0,0,0
1747834604,0,0,0,0,0,0
1747834605,0,0,1,0,0,1
1747834606,0,0,-1,0,0,0
1747834607,0,0,0,0,0,0
1747834608,0,0,0,0,0,0
1747834609,0,0,0,0,0,0
1747834610,0,0,0,0,0,0
1747834611,0,0,0,0,0,0
1747834612,0,0,0,0,0,0
1747834613,0,0,0,0,0,0
1747834614,0,0,0,0,0,0
1747834615,0,0,0,0,0,0
1747834616,0,0,1,0,0,1
1747834617,0,0,-1,0,0,0
1747834618,0,0,0,0,0,0
1747834619,0,0,0,0,0,0
1747834620,0,0,0,0,0,0
1747834621,0,0,-1,0,0,-1
1747834622,0,0,0,0,0,-1
1747834623,0,0,1,0,0,0
1747834624,0,0,0,0,0,0
1747834625,0,0,-1,0,0,-1
1747834626,0,0,0,0,0,-1
1747834627,0,0,0,0,0,-1
1747834628,0,0,1,0,0,0
1747834629,0,0,-1,0,0,-1
1747834630,0,0,1,0,0,0
1747834635,0,0,0,0,0,0
